ID,Label
10467,2NRO8OT
6005,2pol
9085,2pol & Timbou & Clewe
15889,2SCD & Some Asian Females Bodybuilders
15608,3
4562,3 Bears Quartet feat. E.O.R.
14228,3-PARAL-LEL
11987,303db
13121,30[eks]
2576,31 de Octubre
12150,3.2032E+11
6503,37 Pink
13582,3D TV
18297,3dtorus
13267,3eese
4711,3Puen
3577,3Sacchetti
15941,3tronik
15616,4
6846,"4,000,000 Telephones"
6793,"4,000,000 Telephones & Raymond Scott"
14836,4-PARAL-LEL
1691,400 Blows
7092,48/4
7134,4di
11121,4mat
2396,5$man
7810,5-40 am
14837,5-PARAL-LEL
2345,50 Foot Wave
19626,505
1919,50FOOTWAVE
8482,51%
555,555
371,5678's
7243,5unday5essions
8506,6 or 7
14839,6-PARAL-LEL
2887,60 Tigres
9811,6majik9
3089,6th Sense
3094,6th Sense &amp; Mick Boogie
3129,6th Sense + Mick Boogie
18599,7 i i
7554,7 sexes à l église
14840,7-PARAL-LEL
19409,75 Dollar Bill
18064,7b-PARAL-LEL
7555,7sexes à l église
17581,7U? (Channeling Wesley Willis
17582,7U? (Channeling Wesley Willis)
1774,8 Bit Weapon
6998,8 Eye Spy
10357,8-Bit Ninjas
15627,8-PARAL-LEL
7357,8bit Betty
9260,8Bitch
4598,8GB
12547,8in8
3253,8m2stereo
3763,8m2stereo
15628,9-PARAL-LEL
14692,900piesek
17101,99 cents
3883,99 Tales
364,999
17111,99cents
3981,9th Scientist
8550,:dehumanizer:
17090,?+1
7331,???
14196,?alos
13937,A Banda de Joseph Tourton
18468,A C Slate no r
3842,A Camp
19406,A Crooked Pulse
3692,A delicate balance
16695,A Demon Sheen
10630,A Far Cry
10998,A Faulty Chromosome
6490,A Foggy Realm
15630,A Friendly Grey
5757,A Hawk and a Hacksaw
18923,a k u a
2243,A Kombi
8834,A Lifetime Of Trials
15210,A Magnifique Bande dos Homes sen Medo
10215,A Million Years Ago
20654,A Minha Embala (Aline Frazão e César Herranz)
20521,A Ninja Slob Drew Me
17707,A Paranoid Android
1135,A Place to Bury Strangers
13066,A Quiet Monday
9840,A Sistem Rijek?!
5457,A Smile for Timbuctu
20369,A Sound Embrace
20101,A Souvenir
7876,A Sunny Day in Glasgow
17989,A Thousand Years
11104,A Very Clever Robot
12714,A Victim Of Society
9172,A Way
8162,A Weather
14842,A Xperisougs
18303,A()d
15004,A-1 Mr. Son
11217,A-Rec
3402,A-Scholars Band
20875,A. G. Kush
15380,A. Jones/OBF
2554,A. Kevorkian
13452,A. P. Vague
5592,A.C. Newman
19805,A.Grossman T.Ewell B.Grainger
19929,A.H. Fork
19777,A.J.
19578,A.K Perkins
9513,A.L.I.C.E
7962,A.M
13733,A.M.
18861,a.m. wiles
11050,A.M.U
15431,A.M/Uton
5180,A1
17394,A3ek
19667,a505
14730,AAAHHHRCHESTRA
15035,aaahhhrchestra
8320,aAirial
10392,Aalfang mit Pferdekopf
9171,Aan
19138,Aardvark vs Some Some Unicorn
15910,Aaron Bathurst
15123,Aaron DeVries
9604,Aaron DeVries (feat. Ben DeVries)
2923,Aaron Dunn
20273,Aaron Mist
4810,Aaron Moore
13351,Aaron Moore & Carter Thornton
15533,Aaron Rosenblum
3425,Aaron Siegel
3850,Aaron Ximm
20834,aaron yabrov
17062,Aatxe
10291,Abacinate
17305,Abandone
5587,abbruciati faella
5319,abbruciati gordiani kostur
15349,Abby and Chris
5422,Abby Lee Tee
1830,ABC Radio National
15612,abc10
13028,abc100
3683,Abdoulaye Alhassane Touré
9300,Abdul Karim Khan
11433,Abe Sada
11436,Abe Sada & ^
11435,"Abe Sada, ^"
18304,Abereiddy Astronomical Society
20485,Abinadi Meza
52,Abominog
6077,aboombong
15162,Abortifacient
14737,About
7024,ABQ
17351,Abraka Dub
16550,Abre Ojos
5887,Absent Me
18088,Absent Trio with Jme Guggino
8231,Absolute Monarchs
17993,ABSRDST
11963,Abstract Artimus
13807,Abstract Cannon
15724,Abstract Nostalgic Fractals Systems
3403,Absu
12357,Abtreibung feat. Grief No Absolution
2343,Abunai!
16107,Abusive/Consumer
15945,Access To Arasaka
4132,accidentally
20586,Ace & the Gulls
10975,Ache de noche
18798,Acherontia
15249,Aching Beauty
3411,Acid Birds
19556,Acid Eye
12488,Acid Police Noise Ensemble
14341,Acid Problem
16217,Acid Trash
7671,Acrassicauda
11532,Acre
18033,Acreil
17740,Acrid Fluff
9379,Act
13533,Action Davis
19279,Action Will Be Taken
10089,Active Child
16112,Activity Universal Associates
5426,Actual Birds
12586,Actual Russian Brides
1673,Ada Jones
1667,Ada Jones and Billy Murray
20644,Ada Jones and Billy Watkins
5354,Ada Jones and Len Spencer
20844,Ada Jones and Walter Van Brunt
12079,Ada Rave Cuarteto
6384,Adachi Tomomi/Alessandro Bossetti
9529,Adam & Alma
13067,Adam Bohman and Adrian Northover
16686,Adam Cadell
1920,Adam Gnade
10743,Adam Haworth Stephens
7983,Adam Kroll
17951,Adam Link
3533,Adam Pultz Melbye
20132,Adam Selzer
7088,Adam Trainer
9952,adamned.age
9778,Adapt
6054,adcBicycle
6053,adcBicycleadcBicycle
12889,Addicted White Guy
5453,Addiquit
4954,Adele Rowland
5483,Adeline Francis
6191,Adelit@s
15992,Aden Ôhm
385,Adept
15602,adfasfasf
13068,Aditi Tahiti
13861,ADJ
17256,admiral bellybutton
9043,Admiral Radley
13567,Admn Bldg
18753,Adolina
2929,Adolph Gluck
17483,Adoption
18886,Adrian Beentjes
15965,"Adrian Beentjes, Anthony Donovan, Jaan Patterson"
13649,"Adrian Beentjes, David Cunliffe, Anthony Donovan and Hopek Quirin"
20742,Adrian Belew
12788,Adrian Carter
17554,Adrian Chevalier
17555,Adrian Chevalier & Evgenia Pavlova
17636,Adrian Juarez
20854,Adrianna Krikl
11887,Adriano Orru
18652,adriano orrù
3673,Adrien Barbobott
13720,Adubter
16524,ADVAETA
4978,Advantage Music Group
4986,Advantage Music Group Presents:
14420,Advent Chamber Orchestra
2130,Adventure Time
8545,Adviruz
6421,AEED
3612,aelters / sagan
3877,Aemae
17982,Aenedra
15745,AER20-200
17235,Aerologic
16797,Aerosol Constellations
3722,Aerotrio
8767,Aesis
4972,Aesthetics Crew
10143,Aethyr
13941,Afrika Pseudobruitismus
20876,Afrika Pseudobrutismus
18305,Afrikence
386,Afrirampo
7261,"Afrissippi feat. Youssou N'Dour, Neneh Cherry and Guelel Kumba"
20575,Afro D
14095,Afrocubism
9892,Afrodita
6249,Afroskull
4483,After Party
3235,After The Ice
387,Afternoon Penis
12580,Afxjim
14843,AG Davis
19129,AG Davis & Jaan Patterson
20309,AG Davis & The Boy + Girl
18065,AG Davis and Anthony Donovan
20222,AG Davis and Jaan Patterson
14844,AG Davis and Jamison Williams
19139,AG Davis and Steven Bristol
20223,AG Davis and The BoyplusGirl
20221,AG Davis and {AN} EeL
3515,AG3io Strong and Wrong
16913,Agan
14003,agata spring
9374,Agathe Laforge
10466,Age Wave & Dinner Music
6159,Agent Fresco
3448,Agents del Futuro
8284,AGF/Delay
16062,agnès pe
18089,Agnieszka Cie Nienawidz
18600,Agnieszka Cie Nienawidzi
16618,Agnosept
12993,Agnosie
6374,Agnostic Mountain Gospel Choir
15524,Agonidaeline
8073,Agoostus
8074,agoostus & Henna Dress
3679,Agrarians
4339,Agripon
12013,agrupación musical nativaquechua netamente rural de la poblacion de Ñuqui
11906,Agusti Fernandez
12051,Agusti Fernandez/Peter Kowald
17486,Ahad
7442,Ahad & Despera
7443,Ahad & Despera/Zsolt Sõrés aka Ahad
2596,Ahmet Djewdet
390,Ai Aso
11237,Aias
2894,Aidan Baker
7946,Aidan Baker & Ben Fleury-Steiner
18003,Aidan Baker & Samuel Antonin
3256,AIDS Wolf
7704,Aileen Stanley
12516,Aim Low
17777,Ain't No Love
20829,Aina Haina
20628,Ainst Char
1692,Air Conditioning
20990,Air Waves
18000,Aires
20931,Aires Ferreira
19300,Airglow
5640,Airships
7172,airtone
53,Airway
17040,Aislinn
16079,aisth
7508,AJ
16724,Ajda the Turkish Queen
16725,Ajda the Turkish Queen
12122,Ajilvsga
5382,AK Slaughte
392,AK Slaughter
17192,Ak'chaamel
15412,"Ak'chamel, The Giver of Illness"
18066,Akaman
17724,Akarola
3021,Akasha Blade
10230,Akathasquid
11101,akaUNO
12041,Akauzazte
12084,Akauzazte Danok
13650,Aka_bondage
15726,Akchamel Giver of Illness
10335,Akhet
1100,Aki Onda
2131,Akiko Hashim
7586,Akoustik Timbre Frekuency
16282,Akris
3365,Akron/Family
16534,Aktivehate
19204,aktiv[E|H]ate
15632,Akuma
4537,Al Benard
12820,Al Bernard
18793,Al Coholic & Serhio Efremis
2251,Al Duvall
2514,Al Duvall And Singing Sadie
5068,Al Jolson
17408,al karpenter
18452,Al Lover
18306,AL355I0
15457,Ala Social Net
15455,Ala Social Net - Various Artists
16131,Ala Social Net 2012
14379,Alabama Shakes
12085,Alaclair Ensemble
7658,Alak
16139,Alamout Black
15459,Alan Driscoll
17667,Alan Judson
17662,Alan Judson (Feat. Mariah Carey)
4639,Alan Licht
14232,Alan McLean
20522,Alan Singley
1361,Alan Vega
2252,Alan Vega & Oneida
12208,Alan Watts
20445,Alas de Mosca
9308,"Alas, Alak, Alaska!"
9313,"Alas, alak, Alaska! (NOUS)"
20627,Alasdair Cooper
5429,Alasdair MacLean
11395,Alash
4799,Alash Ensemble
5150,Alaska
5163,Alaskas
14391,Alastair Camero
16675,Alastair Galbraith
16778,Alberich
8419,Albert Beger
13305,Albert Beger and Gerry Hemingway
8655,Albert Beger Elctroacoustic Band
10109,Albert Beger's 5
10802,Albert Benzler and Fred Van Eps
2382,Albert Campbell and Henry Burr
9568,Albert Glasser
5378,Albert Henry
10443,Albert Spalding
12525,Albert Whelan
6041,Albino Ghost Monkey
9899,Album
8755,album name Diploide / Garbanzo
7503,Alcove
15955,Alcrani
18034,Alcrete
20677,Aldaraia
11467,Aldo Becca
3367,Alec K Redfearn & the Seizures
54,Alec K. Redfearn & the Eyesores
6199,Alec Ounsworth
18768,Alec's Band
7756,Aleix Pitarch
7341,Alejandra and Aeron
2800,Alejandro Escovedo
9507,Alejandro Morse
15592,Alejandro Remeseiro
10356,Aleksi Eeben
3646,Aleksi Virta
55,Alela Diane
17987,Aleph
9475,Aless
15964,Alessandra Celletti & Jaan Patterson
8645,Alessandro Bosetti
20487,Alessandro Coronas/Laura Mura
2232,Alessi
11181,Alessi's Ark
19952,Alessio Bargiacchi
20723,Alex
9247,Alex B
13651,Alex Charles
14845,Alex Drool & Nico Teen
20133,Alex Fitch
17589,Alex Gross
18480,Alex Marantz
18876,Alex Mason
4237,Alex Mauer
20915,Alex Moore
20694,Alex n Wiill
3767,Alex Waterman
5406,Alex Waterman / Ikue Mori / Ned Rothenberg
5326,Alex Waterman / Robert Ashley
2317,"alex waterman, dafna naftali, darius jones"
2318,"Alex Waterman, Dafna Naphtali and Darius Jones"
6888,Alex White
5574,Alex077
20802,Alexander Chereshnev
20839,alexander chernyshkov and marina poleukhina
18206,ALEXANDER CROW
8317,Alexander Daf
6612,Alexander Ghindin
6613,"Alexander Ghindin, piano"
8759,Alexander Kibanov & Norihito Kodama
6567,Alexander Kibanov + Alexei Borisov + Alexei Bortnichuk + Cisfinitum + Hutopia
15169,Alexander Kläser
2409,alexander stone
5104,Alexander Turnquist
6407,Alexander Wendt
14495,Alexandre Bateiras
14007,Alexandre Joly
19263,Alexandre klinke
10135,Alexandre Navarro
13804,Alexandre Navarro | Virgo
14072,Alexandredavidegabriel
7337,AlexandreDavidGabriel
11831,AlexandredavidgabrielAntonio
11092,AlexandredavidgabrielInès
11093,AlexandredavidgabrielMehdi
8178,Alexandrina
15761,Alexei Biryukoff
9319,Alexei Borisov
7155,Alexei Borisov & Anton Nikkilä
18244,Alexei Borisov and Anton Mobin
17471,Alexei Borisov and Yuri Yaremchuk
16413,"Alexei Borisov, Olga Nosova and Jelena Glazova"
14846,"Alexei Borisov, Olga Nosova, Giuseppe Birardi and Dario Fariello"
10689,Alexi Murdoch
9891,Alexico
14632,alexusual
16900,ALEXZIQ
19767,alfa
11303,Alfred Bizarro To Be Exactly
6370,Alfred Cortot
11974,Alfredo Costa Monteiro & Tim Olive
16354,alg0rh1tm
15221,Algesis
15223,Algesis & Yrrow
15358,Ali Sternburg
14233,Alia Eleu Thera
20322,Alialujah Choir
15581,Alias Lou
17741,Alice Bag
12464,Alice Hui-Sheng Chang
20916,Alice In Wonderland Syndrome
5337,Alice Lloyd
5709,Alice Rose
8151,Alien Pimp
13236,Alien Pornography
10455,Alien Whale
8797,"AlienAqtor, Disorder of Rage (DxOxRx), Flanicx, and Rod Brandao"
17452,Alienpig
5741,Aligning Minds
5323,Alina Simone
19236,Alinta Krauth
18257,Alison Eales
12275,Alison Knowles
3825,Alissid Jazz
15082,All Blacks
20734,All Dogs
6452,All in the Golden Afternoon
8760,All India Radio
5146,All Scars
20689,All Shall Be Well
20690,All shall be well (and all shall be well and all manner of things shall be well)
4494,All Star Trio
18875,All The Empires Of The World
7294,All The Hats
18584,All Urban Outfield
5472,All-Star Trio
8717,all2gethernow
9200,Alla Polacca
16033,Allah-Las
5526,"Allbee, Giffoni"
15372,Allen Riley and Fran Agnone
6375,Allergie gegen die langweilige
10512,Alley Vision
11305,Allfits
19878,Allie Automne (prod. by Meera)
10336,Alligator Crystal Moth
11671,Alligator Indian
14288,Allison
13868,Allison Chanic
3656,Allison Crowe
9369,Allison Weiss
19168,Allister Thompson
14759,AllThatFall
17701,Allysen Callery
5249,Alma Gluck
4113,Alone in 1982
13794,Alone With Everybody
8584,Alozeau & Jean Montag
7466,Alpen
11501,Alpha Couple
19816,Alpha Hydrae
20545,alpha jaguar
8443,Alpha Yaya Diallo
14290,Alphabethead
18928,alphabets
8157,Alphabets Heaven
5916,Alphonse de Montfroyd
7090,Alps
8376,alright lover
8377,alright.lover
13790,Altaïr
8425,Alterboys
15826,Altered Boys
8549,Altered:Carbon
9153,Altered:Carbon & Kendall WA
16750,Alterior
2291,Alternahunk
9340,Altf4
8897,Alto Clark
7154,Alva Noto
14890,Alvari Lume
402,Alvaro
11729,Alvaro Ruiz
13482,Alvin Lucier
10544,Ama
3132,Amalfi
19305,Amalgamated Futureless Artists
9312,AMANDA
17668,Amanda Lewis & Travis Taylor
12459,Amanda Stewart
3221,Amanyth
4644,Amar-Hindemith Quartet
16590,Amaranth
14302,Amateur Childbirth
13584,Amaya Laucirica
13602,Amaya Laurica
10772,Amazing Bahia e i Fanciulli Protosportivi
9861,Amazing in Bed
8395,Amazing/Wow
11211,Amber Lions
11739,Ambi:Non
20918,Ambiansu
5910,Ambidextrous
20934,Ambience
7587,Ambient Fabric
3949,Ambienteer
18504,Ambitious Tugboat (Pancho The Kid)
12358,Ambrose Chapel
6303,Ambrosia Rasputin
9297,Amelita Galli-Curci
5004,Amen Dunes
8140,American Green
17253,American Ice Age
5825,American Music Club
4538,American Quartet
10431,"American Symphony Orchestra (West Orange, N.J)"
10016,Ami Dang
4087,Amiga Agia
7546,Amil Byleckie
5379,Amilita Galli Curci
5387,Amilita Galli-Curci
5403,Amit Erez
11569,Amitron_7
11351,Amity In Fame
6768,Amnésie
406,Amoeba (Raftboy)
3397,Amoeba Men
56,Amoebic Ensemble
7072,Amokdrang
4848,Amolvacy
8312,Amorph
8898,Amorphedrine
8762,AmortE
18977,Amouth
8507,Ampersand
16414,Ampersand and Anthony Donovan
11762,Ampersand and Zolan Quobble
16415,Amphibolous
18018,Ample Mammal
14087,Amplified Cactus Salon
5070,Amy Anelle
5069,Amy Annelle
5355,Amy Butler
6059,Amy Millan
7458,Amy Sayer
7819,Amy Sayer
17710,an0va
19458,Ana Bogner
6256,Ana Radar
2621,anaananaan
8899,äNACRUSä
5860,Anagramm
9649,Anakord
19916,Anal Sadist
17196,analoc
9011,Anamanaguchi
19264,Anamoli
15236,Anaphora
17165,Anastasia Vronski & Ricardo Alrucini
9048,Anat Spiegel
3259,ANAVAN
14847,Anbis
15892,Anchortell
17423,Ancient Lasers
13375,And Academy
408,And You Will Know Us By The Trail of Dead
17410,And.
9278,Anders Ilar
5801,Anders Lindsjö
13996,Andersens
18548,Andiluvian
10440,André Benoist
13652,"Andre Caputo, Noura Sanatian and Noel Taylor"
14894,André Damião
18849,"Andre Darius, Paul Mimlitsch, Martin Pozdrowicz"
18848,Andre Darius; Paul Mimlitsch; Martin Pozdrowicz
4584,André Marchal
7588,André Pissoir
11094,André Pissoir & undRess Béton
11095,André Pissoir & undRess Béton
7850,Andre Stitt Vs. Brothers Peeesseye
2836,Andre Williams
3887,Andre Williams &amp; 2 Star Tabernacle
13462,Andrea
8740,Andrea Baroni
10619,Andrea Belfi
16611,Andrea Carri
4461,Andrea Donau
16888,andrea pensado
16892,andrea pensado and alexei borisov
16890,andrea pensado and andrea de los santos
16889,andrea pensado and davindar singh
16891,andrea pensado and walter wright
15980,Andrea Silenzi
17233,Andrea Tomasi
2134,Andreas Bick
21114,Andreas Woiger
8,Andres Ammer and FM Einheit
18651,andrés elstein
2135,Andres Renteria
476,Andrew Bird
14418,Andrew Bisset
15557,Andrew C. Smith
13785,Andrew Cedermark
5665,Andrew Christopher Smith
12019,Andrew Cyrille & Richard Teitelbaum
4105,Andrew Gleason
7410,Andrew Howes
20743,Andrew Kirejev and ASTMA
10785,Andrew Lampert
4769,Andrew Oliver and Kane Mathis
6363,Andrew Oliver Kora Band
2132,Andrew Pekler
20655,Andrew Seistrup
10765,Andrew Sinclair
5666,Andrew Smith
4973,Andrew Vincent
4985,Andrew Vincent And The Pirates
21116,Andrew Walton
5919,Andrey Kiritchenko
3530,Andrij Orel
13524,Andris Balins
12699,Andu Simion
5857,Andulus
8136,Andy & Muzz
10015,Andy & Zeus
20985,Andy G. Cohen
58,Andy Hayleck
16146,Andy MacMillan
14033,Andy Moor & Yannis Kyriakides
18806,Andy Ortmann
4063,Andy Wagner
14123,andybrannan
12406,Anenon
17617,Angel Alanis
12712,Angel Eyes
8283,Angela Aux
5193,Angela Jaeger
7552,Angela Valid
15327,Angelika Fischer with friends
2984,Angels in America
4496,Angels of Light
2933,Angelsh
9345,angil
9253,ANGO
9857,Angsa & Serigala
4747,Angst Hase Pfeffer Nase
16586,Angstbreaker
9722,Angstrom Records
13069,Ania Courtis
6660,Anidou
19102,Anima
8836,Animal Machine
4064,Animal Style
59,Animal Writes
5404,Animals & Men
1753,Animosity &amp; Drumcorps
18703,Aniqatia
6008,Anita
6009,Anita
8021,Anitek
6857,Anjelly Nice
13653,Anla Courtis
12566,Ann Alee
12456,Anna Chase
18521,Anna Fox Rochinski
18644,Anna Friz
16416,Anna Homler & Sylvia Hallett
20856,Anna Jordan
20326,Annalisa Tornfelt
17297,Anne LeBaron
18204,ANNE MARIE
20469,ANNE MARIE with HPE
7389,Anne van Schothorst
18433,Anne-F Jacques
12274,Annea Lockwood
11883,Annette Krebs/Taku Unami
7927,Annie And The Asexuals
7925,Annie Anxiety Bandez
7926,Annie Anxiety Bandez
7928,Annie Anxiety BandezAnnie And The Asexuals
13070,Annie Dee and Spidey Agutter
2136,Annie Goh
15930,Annoying Ringtone
8232,Annuals
18307,Anokie
5183,Anomie Belle
12362,Anon
6755,Anonymeye
9557,Anonymous
2934,Anonymous Choir
9817,Anonymous Tapes Series
18415,another cultural landslide
8458,Another Day On Earth
9707,Another moody sunday
13654,anotherAntidote
411,Ansambl Mastika
9698,ANT
19353,ant dickinson
14014,Ant Neely
17125,Ant The Symbol
4021,Antanas Jasenka
4025,Antanas Kucinskas
6916,Antennas Erupt 1280
6915,Antennas Erupt!
5751,Antenne
19115,Antethic
13989,Anthony & Substanshall
13656,Anthony and Substanshall
11995,Anthony Braxton
15896,Anthony Donovan
11052,Anthony Donovan & Clive Graham
18067,Anthony Donovan & Jaan Patterson
16417,Anthony Donovan and Anton Mobin
12311,Anthony Donovan and Clive Graham
12312,Anthony Donovan and Ian Linter
12313,Anthony Donovan and John Hyatt
20432,"Anthony Donovan, Hopek Quirin & Jaan Patterson"
15958,"Anthony Donovan, Hopek Quirin, Jaan Patterson"
19937,Anthony Osborne
20224,Anthony Osborne and Ronny Waernes
10606,Anthony Pateras
10607,Anthony Pateras & Valerio Tricoli
2050,Anthony Saunders
14615,Anthony Seeha
12176,Anti-Cheat
5527,"Anti-Ear, Carlos Giffoni, Hans Grusel, J Graf, Liz Allbee, M.V. Carbon, and SIXES."
8823,Anti-Matt3r
5452,Anti-Pop Consortium
10245,Anti/Uton
1908,Anti:Clockwise
18448,Anticipation
413,Antiguo Automata Mexicano
10590,Antiphon
5669,Antipop Consortium
5936,Antipop Consortium/Taotekid
4498,Antique Phonograph Music Program [Various Artists]
5604,Antithetical
13817,Antn Hrkwk
10696,Antoine Beuger
14962,Antoine Chessex
7558,Anton
4895,Anton Belov
18420,Anton Katon
7589,Anton Mobin
7590,Anton Mobin & Denis McCarty
7423,Anton Mobin & Zoologic
11763,Anton Mobin Deadzoo Murmurists
20437,"Anton Mobin, Jaan Patterson & Patrizio Pica"
10771,"Anton Mobin, Joséphine Muller, Ian Linter"
7347,Anton Nikkilä
4401,Anton Oosterwijk
5112,Anton Webern
5113,Anton Webern (delete)
5614,Antonio Contador
17482,Antonio de Braga
20225,Antonio de Braga and datewithdeath
16914,Antonio Muñoz von Furstenberg
7960,Antony Milton
7170,Antony Raijekov
13748,Antropsy
9016,Antti Tolvi
13176,Anyonmous
6358,Aoiroooasamusi
17874,Aortha
5568,aota
1850,AP3S
1597,Apache
10382,Apache Dropout
18269,Apache Tomcat
12972,Aparde
16770,Aparition
414,APB
2393,Apes on Tapes
11275,Apex Manor
15529,Apex Realm
4822,aplinechic
9174,Apna
13504,Apneu
15638,Apocalipsis
8588,Apocalyptic Frequency Experience
6064,Apostle of Hustle
8587,Apotheist
6616,Apparat
5470,Appetite
20687,Apple From Earth
11523,Appleyard
3381,April
416,Apse
11421,Apydiagirls
7426,AQM
18700,Aquarelle
15112,AQUIETBUMP / AQBMP (Various Artists)
7514,ar
8448,Arabian Horses
18068,Aracagok Donovan Johnco
6518,Arachno
3720,Arai
8521,Aramburu
14594,Aran Ruth
13998,Aranos
3452,Arastoo
19501,Arbo Sako
417,Arborea
8853,Arbus
60,Arc and Sender
18949,Arc Waves
6081,Arcade Fire
15147,Arcade Island
13661,Arcane Waves
14441,arcano zero
17295,arcano.zero
1874,Archbishop Jason Polland
12149,Archers
11452,Archers by the Sea
17124,Archétypo 120
12677,Archipelago
16008,Architect
9950,Architect 25
19953,Archivarius
13849,Archos
17579,arciv ev noise
16551,Arco Enarmonico
6343,Ardei Iute (Moldavian string band)
546,Area C
6961,Arek Gulbenkoglu
21063,Argon
11290,Argonaut
20354,Argument Clinic
62,Argumentix
125,Argumentix + Dragging an Ox Through Water
63,Argumentix and Adam Gnade
9965,Ari-Up & The True Warriors
17380,Aria Rostami
10821,Ariana Delawari
11824,Arie
4589,Arie B.
64,Ariel Pink's Haunted Graffiti
13226,Arielle T
15341,arif usmani
15486,Arín Dodó
1674,Aristodemo Giorgini
8769,Aritus
9003,"Arivedergrüt, Wwölfli !"
12071,Arizmenda
13546,arizono kazuhiro
9457,Arjopa
3520,Arkana Music
6068,Arkells
10083,Arklight
17629,ARKM Foam
11549,Arktor
13198,Armageddon Gospel Revival
13220,Armée
20666,Armie And The Strutters
15084,Armin Rüdiger Vieweg
13266,ARMS
4855,Army Navy
19082,Army Of Ghosts
6376,Arnaud Roy
13112,Arne Bang Huseby
15565,Arne Huseby
19990,Arno Bruil
19743,Arnold Dreyblatt & Megafaun
19744,Arnold Dreyblatt and Megafaun
4790,Arnold Rosé
15238,Aron Blue
7780,arottenbit
18317,ARP
6168,Arpline
13054,Arponera
3657,Arrial
2265,Arrington de Dionyso
18987,Arrington de Dionyso & Greg Saunier
17871,Arrington de Dionyso and Gombloh
17869,Arrington de Dionyso and Mr. Sutak's Group
17864,Arrington de Dionyso and Ravi Padmanabha
18043,Arrington de Dionyso and SENYAWA
17865,Arrington de Dionyso and Thollem McDonas
17866,Arrington de Dionyso with Graeme W. Smith
17868,Arrington de Dionyso with Jaran Kepang Timbul Aji Jubah
17867,Arrington de Dionyso with Turonggo Joyo Mulyo
7515,Arrington de Dionyso's Malaikat Dan Singa
17870,"Arrington de Dionyso, with Gombloh and Gamelan Gandrun Lombok"
14016,Arrizabalaga Bravo Laginestra Martinez
14015,"Arrizabalaga, Bravo, Laginestra, Martinez"
5507,Arrogalla
5511,Arrogalla feat. Claudia Aru Carreras
5509,Arrogalla feat. Ganga and Quilo
5510,Arrogalla feat. Ganga and Volfoniq
5508,Arrogalla feat. Randagiu Sardu
20491,Arrogalla meet Ratapignata
7654,Arrogalla remixes Dadub
7650,Arrogalla remixes dr dub
7653,Arrogalla remixes Ganga
7652,Arrogalla remixes King Kietu
7638,Arrogalla remixes Peak (feat. Claudia Aru Carreras)
7636,Arrogalla remixes Ratapignata
7641,Arrogalla remixes Roots Ista Posse
7643,Arrogalla remixes Signorafranca
7644,Arrogalla remixes Volatil
7646,Arrogalla remixes Volfoniq
6560,Arrogalla rmx Volatil
17524,Ars Sonor
3639,Arse Nova
19930,Arsenic Strychnine
10384,arsonist
9991,Art Boys Collection
424,Art Brut
14234,Art Electronix
8768,Art Of Empathy
16459,Art of Failure
425,Art of Flying
20476,Artem Bemba
